taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,r2_ss_list,sd_te,nebraska_swap,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,IMBCR_nObs,IMBCR_minYear,IMBCR_maxYear,sum_nObs,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,Most Recent Occurrence Record,Is the Species Native and Known to Occur,"What is the rationale and supporting BASI for recommending that an observation does not meet the requirements of native to, and known to occur in the plan area?"
4058016,Navarretia saximontana,Rocky Mountain Pincushion-plant,G4,S1,SNR,NA,NA,NA,Tier 2,1,1991,2016,0,NA,NA,3,1991,1991,0,NA,NA,3,1991,1991,0,NA,NA,7,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Navarretia,Navarretia saximontana,NA,NA,NA,NA,Yes,NA
3173298,Orobanche uniflora,One-flowered Broomrape,G5,S1,S2,NA,NA,NA,Tier 2,0,NA,NA,2,2005,2005,1,2005,2005,0,NA,NA,0,NA,NA,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Aphyllon,Aphyllon uniflorum,NA,NA,NA,2005,Yes,NA
2888310,Orthilia secunda,One-sided Wintergreen,G5,S1,SNR,NA,NA,NA,Tier 2,1,1890,1890,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Orthilia,Orthilia secunda,NA,NA,NA,1940,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The observations for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
4249110,Packera pseudaurea var. semicordata,Western Golden Groundsel,T4,S1,SNR,NA,NA,NA,Tier 2,1,2006,2015,0,NA,NA,1,2006,2006,0,NA,NA,1,2006,2006,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Packera,Packera pseudaurea,NA,Packera pseudaurea semicordata,NA,2015,Yes,NA
7226477,Phacelia hastata var. hastata,Silverleaf Scorpionweed,T5,S2,SNR,NA,NA,NA,Tier 2,2,1912,1915,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia hastata,NA,Phacelia hastata hastata,NA,1924,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The single observation for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
2927739,Phlox alyssifolia,Alyssum-leaf Phlox,G5,S1,SNR,NA,NA,NA,Tier 2,2,2004,2010,0,NA,NA,9,1993,2005,1,2005,2005,3,1993,2005,0,NA,NA,15,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox alyssifolia,NA,NA,NA,NA,Yes,NA
4057955,Phlox gracilis ssp. humilis,Slender Phlox,T5,S1,SNR,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,2003,2003,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox gracilis,Phlox gracilis humilis,NA,NA,2003,Yes,NA
7225662,Physaria arenosa ssp. arenosa,Great Plains Bladderpod,T5,S1,SNR,NA,NA,NA,Tier 2,3,2005,2005,0,NA,NA,46,1981,2008,3,2005,2008,9,1981,2008,0,NA,NA,61,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria,Physaria arenosa,Physaria arenosa arenosa,NA,NA,NA,Yes,NA
3049235,Physaria brassicoides,Rydberg's Double Twinpod,G5,S1,S3,NA,NA,NA,Tier 2,0,NA,NA,4,2004,2005,4,2004,2005,1,2005,2005,1,2005,2005,0,NA,NA,10,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria,Physaria brassicoides,NA,NA,NA,NA,Yes,NA
3049163,Physaria montana,Mountain Bladderpod,G5,S2,S1,NA,NA,NA,Tier 2,1,1995,1995,4,2004,2005,5,1995,2005,0,NA,NA,0,NA,NA,0,NA,NA,10,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria,Physaria montana,NA,NA,NA,NA,Yes,NA
5334465,Polygonum douglasii,Douglas' Knotweed,G5,S2,SNR,NA,NA,NA,Tier 2,7,1991,2008,0,NA,NA,8,1991,2010,1,2010,2010,7,1991,2010,0,NA,NA,23,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum douglasii,NA,NA,NA,NA,Yes,NA
7219337,Polygonum sawatchense ssp. sawatchense,Sawatch Knotweed,TNR,S2,SNR,NA,NA,NA,Tier 2,6,1991,2008,0,NA,NA,2,1991,1991,2,1991,1991,2,1991,1991,0,NA,NA,12,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum sawatchense,Polygonum sawatchense sawatchense,NA,NA,NA,Yes,NA
3040215,Populus tremuloides,Quaking Aspen,G5,S2,SNR,NA,NA,NA,Tier 2,6,1991,2016,0,NA,NA,9,1971,2006,2,1998,1998,7,1971,2003,0,NA,NA,24,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus tremuloides,NA,NA,NA,NA,Yes,NA
3040193,Populus x acuminata,Lanceleaf Cottonwood,GNA,S1,SNA,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,1,2005,2005,1,2005,2005,1,2005,2005,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus acuminata,NA,NA,NA,2005,Yes,NA
5367733,Potentilla hippiana,Horse Cinquefoil,G5,S2,SNR,NA,NA,NA,Tier 2,6,1889,2016,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,6,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla hippiana,NA,NA,NA,2016,Yes,NA
5334184,Pterospora andromedea,Giant Pinedrops,G5,S2,SNR,NA,NA,NA,Tier 2,4,1991,2008,0,NA,NA,2,2006,2008,0,NA,NA,0,NA,NA,0,NA,NA,6,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Pterospora,Pterospora andromedea,NA,NA,NA,2008,Yes,NA
3928297,Ranunculus glaberrimus var. ellipticus,Sagebrush Buttercup,T5,S1,SNR,NA,NA,NA,Tier 2,1,1974,1975,0,NA,NA,2,1974,1975,0,NA,NA,2,1974,1975,0,NA,NA,5,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus glaberrimus,NA,Ranunculus glaberrimus ellipticus,NA,1975,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The  observation for the plan area has a location uncertainity of 2000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
3033365,Ranunculus rhomboideus,Prairie Buttercup,G5,S1,SNR,NA,NA,NA,Tier 2,1,1912,1912,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus rhomboideus,NA,NA,NA,1963,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The observation for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
2986164,Ribes hirtellum,Smooth Gooseberry,G5,S1,SNR,NA,NA,NA,Tier 2,1,1991,1991,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes hirtellum,NA,NA,NA,1991,Yes,NA
3053227,Rorippa tenerrima,Modoc County Yellowcress,G5,S1,SNR,NA,NA,NA,Tier 2,1,2005,2005,0,NA,NA,1,2005,2005,0,NA,NA,0,NA,NA,0,NA,NA,2,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Rorippa,Rorippa tenerrima,NA,NA,NA,2005,Yes,NA
5373055,Salix bebbiana,Bebb's Willow,G5,S1,SNR,NA,NA,NA,Tier 2,3,1889,1940,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix bebbiana,NA,NA,NA,1940,"No, there is insufficient spatial certainty that the observation occurred within the plan area","There are three occurance polygons from NENHP that partially overlap the plan area from 1889, 1926, and 1940. These records are all classified as very low accuracy with a spatial uncertainty of 5 miles. It is therefore uncertain if this species occurs in the plan area."
7095876,Sedum lanceolatum var. lanceolatum,Lanceleaf Stonecrop,T5,S2,SNR,NA,NA,NA,Tier 2,5,1890,2012,0,NA,NA,2,2008,2008,0,NA,NA,1,2008,2008,0,NA,NA,8,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,Sedum lanceolatum,Sedum lanceolatum lanceolatum,NA,NA,NA,Yes,NA
6291148,Solidago speciosa var. pallida,Pale Showy Goldenrod,T4,S1,SNR,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,1,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago pallida,NA,Solidago speciosa pallida,NA,2004,Yes,NA
7225656,Stanleya pinnata var. pinnata,Desert Prince's-plume,T4,S1,SNR,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,5,1991,2004,0,NA,NA,1,1991,1991,0,NA,NA,6,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Stanleya,Stanleya pinnata,NA,Stanleya pinnata pinnata,NA,2004,Yes,NA
5401962,Townsendia hookeri,Hooker's Townsend-daisy,G5,S1,S3,NA,NA,NA,Tier 2,2,1970,1978,6,2003,2005,5,2003,2007,2,2005,2007,2,2005,2007,0,NA,NA,17,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,Townsendia hookeri,NA,NA,NA,NA,Yes,NA
3172414,Utricularia minor,Lesser Bladderwort,G5,S1,S2,NA,USFS R2 Sensitive Species,NA,Tier 2,2,1889,1995,0,NA,NA,3,1995,1995,1,1995,1995,2,1995,1995,0,NA,NA,8,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia,Utricularia minor,NA,NA,NA,NA,Yes,NA
2888586,Viburnum lentago,Nannyberry,G5,S1,SNR,NA,NA,NA,Tier 2,1,1960,1960,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum lentago,NA,NA,NA,1960,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The single observation for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
5331199,Viola adunca,Sand Violet,G5,S1,SNR,NA,NA,NA,Tier 2,1,2015,2015,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola adunca,NA,NA,NA,2015,Yes,NA
5331175,Viola vallicola,Valley Violet,G5,S2,SNR,NA,NA,NA,Tier 2,2,2006,2015,0,NA,NA,6,1970,2006,1,1970,1970,5,1970,2006,0,NA,NA,14,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola vallicola,NA,NA,NA,NA,Yes,NA
5372401,Vitis vulpina,Winter Grape,G5,S1,SNR,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,2,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,2,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vulpina,NA,NA,NA,2004,Yes,NA
6091692,Peucaea cassinii,Cassin's Sparrow,G5,S3,NA,NA,USFS R2 Sensitive Species,NA,Tier 2,0,NA,NA,0,NA,NA,0,NA,NA,7,2011,2018,0,NA,NA,19,2011,2021,26,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Peucaea,Peucaea cassinii,NA,NA,NA,NA,Yes,NA
7261900,Myotis lucifugus lucifugus,Eastern Little Brown Myotis,TNR,S2,NA,NA,NA,NA,Tier 1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,2012,2013,0,NA,NA,4,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Myotis lucifugus lucifugus,NA,NA,2013,Yes,4 specimens collected.  Records are Myotis lucifugus.
4264486,Thomomys talpoides pierreicolus,Pierre Northern Pocket Gopher,TNR,S2,NA,NA,NA,NA,Tier 1,4,2004,2004,0,NA,NA,0,NA,NA,2,1971,1987,2,1971,1987,0,NA,NA,8,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys talpoides,Thomomys talpoides pierreicolus,NA,NA,NA,Yes,NA
4990190,Coccinella novemnotata,Nine-spotted Lady Beetle,G5,S1,NA,NA,NA,NA,Tier 1,2,2014,2014,0,NA,NA,0,NA,NA,1,Inf,-Inf,0,NA,NA,0,NA,NA,3,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella novemnotata,NA,NA,NA,2023,Yes,NA
1926009,Euphilotes ancilla,Rocky Mountain Dotted Blue,G5,S1,NA,NA,NA,NA,Tier 2,1,1999,1999,0,NA,NA,0,NA,NA,1,1999,1999,0,NA,NA,0,NA,NA,2,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Euphilotes,Euphilotes enoptes,NA,NA,NA,1999,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The single, ~1,000-acre observation polygon that represents an unknown number of individuals partially overlaps the plan area. Thus, it cannot be determined whether the observation was inside the plan area."
8226569,Encoptolophus subgracilis,Southwestern Dusky Grasshopper,G5,S1,NA,NA,NA,NA,Tier 2,2,2008,2020,0,NA,NA,0,NA,NA,7,2008,2008,6,2008,2008,0,NA,NA,15,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Nebulatettix,Nebulatettix subgracilis,NA,NA,NA,NA,Yes,NA
1699015,Melanoplus punctulatus,Pine Tree Spur-throat Grasshopper,G5,S1,NA,NA,NA,NA,Tier 2,1,2020,2020,0,NA,NA,0,NA,NA,1,Inf,-Inf,0,NA,NA,0,NA,NA,2,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,Melanoplus punctulatus,NA,NA,NA,2020,Yes,NA
2703743,Bromus porteri,Porter's Chess,G5,S2,NA,NA,NA,NA,Tier 2,18,1889,2008,0,NA,NA,10,1991,2008,0,NA,NA,8,1991,2008,0,NA,NA,36,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus porteri,NA,NA,NA,NA,Yes,NA
