taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,r2_ss_list,sd_te,nebraska_swap,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,IMBCR_nObs,IMBCR_minYear,IMBCR_maxYear,sum_nObs,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,Most Recent Occurrence Record,Is the Species Native and Known to Occur,"What is the rationale and supporting BASI for recommending that an observation does not meet the requirements of native to, and known to occur in the plan area?"
6396091,Heliotropium curassavicum var. obovatum,Seaside Heliotrope,T5,S1,NA,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,1,2006,2006,1,2006,2006,1,2006,2006,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium curassavicum,NA,Heliotropium curassavicum obovatum,NA,2006,Yes,NA
4274385,Hymenoxys richardsonii var. richardsonii,Richardson's Bitterweed,T5,S1,NA,NA,NA,NA,NA,1,2009,2009,0,NA,NA,2,2009,2009,1,2009,2009,2,2009,2009,0,NA,NA,6,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hymenoxys,Hymenoxys richardsonii,NA,Hymenoxys richardsonii richardsonii,NA,2009,Yes,NA
7764992,Penstemon haydenii,Blowout Penstemon,G2,S1,NA,Endangered,NA,NA,Tier 1,19,1891,2022,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,19,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon haydenii,NA,NA,NA,NA,Yes,NA
4022595,Phemeranthus calycinus,Large-Flower Fameflower,G5,S1,NA,NA,NA,NA,Tier 2,3,1900,2017,0,NA,NA,1,2017,2017,1,2018,2018,1,2018,2018,0,NA,NA,6,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Phemeranthus,Phemeranthus calycinus,NA,NA,NA,2018,Yes,NA
4022511,Phemeranthus rugospermus,Prairie Fameflower,G3,S3,NA,NA,NA,NA,NA,5,1995,2013,0,NA,NA,4,2013,2013,0,NA,NA,2,2013,2013,0,NA,NA,11,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Phemeranthus,Phemeranthus rugospermus,NA,NA,NA,NA,Yes,NA
5341810,Physalis pumila,Dwarf Ground-cherry,G5,S1,NA,NA,NA,NA,Tier 2,0,NA,NA,0,NA,NA,13,1911,2018,4,1911,2018,0,NA,NA,0,NA,NA,17,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,Physalis pumila,NA,NA,NA,NA,Yes,NA
2888967,Rumex verticillatus,Swamp Dock,G5,S1,NA,NA,NA,NA,Tier 2,1,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex verticillatus,NA,NA,NA,2005,Yes,NA
4231219,Senecio integerrimus var. scribneri,Scribner's Ragwort,T2,S1,NA,NA,NA,NA,Tier 2,2,2004,2005,0,NA,NA,8,1975,2005,0,NA,NA,3,1975,1995,0,NA,NA,13,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio integerrimus,NA,Senecio integerrimus scribneri,NA,NA,Yes,NA
3141090,Stephanomeria runcinata,Desert Skeletonplant,G5,S2,NA,NA,NA,NA,Tier 2,1,2003,2003,0,NA,NA,2,2003,2003,0,NA,NA,1,2003,2003,0,NA,NA,4,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria,Stephanomeria runcinata,NA,NA,NA,2003,Yes,NA
3083649,Suckleya suckleyana,Poison Suckleya,G5,S1,NA,NA,NA,NA,Tier 2,1,1996,2004,0,NA,NA,3,1995,2004,1,1995,1995,2,1995,1995,0,NA,NA,7,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Suckleya,Suckleya suckleyana,NA,NA,NA,NA,Yes,NA
3189588,Triadenum fraseri,Fraser's Marsh-St. John's-wort,G5,S2,NA,NA,NA,NA,Tier 2,2,1893,1933,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Triadenum,Triadenum fraseri,NA,NA,NA,1933,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The observation for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
5142062,Atrytone arogos,Arogos Skipper,G2,SNR,S2,NA,USFS R2 Sensitive Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Atrytone,Atrytone arogos,NA,NA,NA,NA,"No, there is insufficient temporal certainty that the species still occupies the plan area","Observation record in Nebraska National Forest considered ""historical"" by Butterflies and Moths of North America. No records in Heimerl and Heimerl (2023)."
1912319,Boloria myrina,Myrina Fritillary,G5,S2,SNR,NA,NA,NA,Tier 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,NA,NA,NA,NA,NA,"No, there is insufficient taxonomic certainty to identify the observation data to a species","This species was just recognized  by Zhang et al. (2022). Unless the plan area has been surveyed in the last two by someone with the expertise required to identify this newly-recognized species, it cannot be known to occur in the plan area."
1912319,Boloria myrina nebraskensis,Nebraska Fritillary,T3,SNR,NA,NA,NA,NA,Tier 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,NA,NA,NA,NA,NA,"No, there is insufficient taxonomic certainty to identify the observation data to a species","This subspecies was just recognized  by Zhang et al. (2022). Unless the plan area has been surveyed in the last two by someone with the expertise required to identify this newly-recognized subspecies, it cannot be known to occur in the plan area."
1912319,Boloria myrina sabulocollis,Kohler's Fritillary,T3,S1,NA,NA,NA,NA,Tier 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,NA,NA,NA,NA,NA,"No, there is insufficient taxonomic certainty to identify the observation data to a species","This subspecies was just recognized  by Zhang et al. (2022). Unless the plan area has been surveyed in the last two by someone with the expertise required to identify this newly-recognized subspecies, it cannot be known to occur in the plan area."
2438444,Neotoma floridana,Eastern Woodrat,G5,SNR,NA,NA,NA,NA,Tier 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma floridana,NA,NA,NA,NA,?,Need unit's input on lumping vs splitting with bailey's eastern woodrat
2438444,Neotoma floridana baileyi,Bailey's Eastern Woodrat,T3,S4,NA,NA,NA,NA,Tier 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma floridana,NA,NA,NA,NA,?,"Isolated, disjunct population that only occurs only in cool canyons in the Niobrara River Valley and a few of its major tributaries in Cherry, Brown, Keya Paha, and Rock counties {Graham et al. 2012}. Possible overlap with Samuel McKelvie NF? Hayes and Harrison (1992) found no mtDNA restriction site differences between subspecies baileyi and campestris and stated that further study is needed to determine the taxonomic status of these groups."
1918988,Phyciodes cocyta,Northern Crescent,G5,S1,SNR,NA,NA,NA,Tier 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,NA,NA,NA,NA,"No, there is insufficient spatial certainty that the observation occurred within the plan area","Plan area is within species' range with records adjacent to the plan area in Butterflies and Moths of North America, but no records in plan area in Heimerl and Heimerl (2023) or Butterflies and Moths of North America."
1918988,Phyciodes pulchella,Field Crescent,G5,S1,SNR,NA,NA,NA,Tier 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,NA,NA,NA,NA,"No, there is insufficient spatial certainty that the observation occurred within the plan area","Plan area is within species' range with records adjacent to the plan area in Butterflies and Moths of North America, but no records in plan area in Heimerl and Heimerl (2023) or Butterflies and Moths of North America."
