taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
5137791,Pontia occidentalis,Western White,G5,S2,SNR,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pontia,Pontia occidentalis,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,2023,2023,0,NA,NA,2
5714788,Satyrium liparops,Striped Hairstreak,G5,S2,SNR,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium liparops,NA,NA,NA,4,2001,2022,0,NA,NA,0,NA,NA,5,1999,1999,0,NA,NA,9
1865345,Hemileuca hera,Hera Sheepmoth,G5,S1,SNR,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hemileuca,Hemileuca hera,NA,NA,NA,2,2014,2019,0,NA,NA,0,NA,NA,14,2014,2014,0,NA,NA,16
1797114,Catocala abbreviatella,Abbreviated Underwing,G3,SNR,SNR,NA,NA,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala abbreviatella,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,4,1964,1964,4,1964,1964,8
1797507,Catocala aholibah,Aholibah Underwing Moth,G5,S1,SNR,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala aholibah,NA,NA,NA,1,2014,2014,0,NA,NA,0,NA,NA,2,2014,2014,0,NA,NA,3
1797397,Catocala nuptialis,Married Underwing,G3,SNR,SNR,NA,NA,Tier 1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala nuptialis,NA,NA,NA,2,2012,2014,0,NA,NA,0,NA,NA,2,2014,2014,0,NA,NA,4
1797227,Catocala whitneyi,Whitney's Underwing,G2,S1,SNR,NA,NA,Tier 1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala whitneyi,NA,NA,NA,1,1983,1983,0,NA,NA,0,NA,NA,1,2014,2014,0,NA,NA,2
5051883,Stylurus notatus,Elusive Clubtail,G3,SNR,SNR,NA,NA,Tier 2,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Stylurus,Stylurus notatus,NA,NA,NA,1,2002,2002,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
1541347,Eristalis brousii,Hourglass Drone Fly,G4,S1,SNR,NA,NA,Tier 1,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis brousii,NA,NA,NA,1,2003,2003,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
2687937,Equisetum fluviatile,Water Horsetail,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum fluviatile,NA,NA,NA,1,2017,2017,0,NA,NA,3,2005,2017,0,NA,NA,1,2017,2017,5
